rank,organisation,location,cqc_location_id,cqc_provider_id,local_authority,region,postcode,service_types,number_of_beds,current_rating,primary_signal,most_recent_event_date,opportunity_score,reason,evidence_events,cqc_record_url
1,Care UK Care Services Limited,The Wickets Care Home,1-26645669620,1-118164369,Southampton,South East,SO15 2EN,Care home service with nursing,80,,New CQC registration,2026-01-28,73.0,"Newly registered with CQC on 28 Jan 2026 (care home service with nursing, 80 beds) in the last three weeks, so it is still standing up policies, training and systems. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet. At 80 beds it is one of the larger entrants in this window.",new_registration 2026-01-28,https://api.service.cqc.org.uk/public/v1/locations/1-26645669620
2,Caringsmart LTD,CaringSmart Ltd - Southampton,1-26594228815,1-15134511675,Southampton,South East,SO14 3LP,Domiciliary care service,,,New CQC registration,2026-02-17,63.0,"Newly registered with CQC on 17 Feb 2026 (domiciliary care service, non-bed-based) in the last three weeks, so it is still standing up policies, training and systems. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2026-02-17,https://api.service.cqc.org.uk/public/v1/locations/1-26594228815
3,Ms Eleanor Sylvia May-Johnson,Eleanor May-Johnson,1-26539765339,1-24951957402,Southampton,South East,SO16 5SP,Community healthcare service,,,New CQC registration,2026-02-09,63.0,"Newly registered with CQC on 09 Feb 2026 (community healthcare service, non-bed-based) in the last three weeks, so it is still standing up policies, training and systems. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2026-02-09,https://api.service.cqc.org.uk/public/v1/locations/1-26539765339
4,Rymacare Community Limited,Rymacare Community Learning Disability Services,1-26390790275,1-25871175616,Southampton,South East,SO18 6AZ,Domiciliary care service; Supported living service,,,New CQC registration,2026-02-06,63.0,"Newly registered with CQC on 06 Feb 2026 (domiciliary care service, non-bed-based) in the last three weeks, so it is still standing up policies, training and systems. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2026-02-06,https://api.service.cqc.org.uk/public/v1/locations/1-26390790275
5,Dimensions (UK) Limited,Dimensions Weston Court,1-26077596887,1-349152381,Southampton,South East,SO19 9LB,Care home service without nursing,3,Good,New CQC registration,2026-01-12,56.9,"Re-registered with CQC on 12 Jan 2026 (care home service without nursing, 3 beds) in the last two months, so onboarding decisions are still open. A new legal entity or owner has taken on an existing service in Southampton - a natural point to review incumbent suppliers. It carries an inherited overall rating of Good.",new_registration 2026-01-12,https://api.service.cqc.org.uk/public/v1/locations/1-26077596887
6,Holident Limited,Dr Elmar Jung Dental Clinic,1-26406760545,1-24873810302,Southampton,South East,SO15 1HY,Dental service,,,New CQC registration,2026-01-15,50.4,"Newly registered with CQC on 15 Jan 2026 (dental service, non-bed-based) in the last two months, so onboarding decisions are still open. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2026-01-15,https://api.service.cqc.org.uk/public/v1/locations/1-26406760545
7,Insight Care & Support Ltd,Insight Care & Support Ltd,1-26165716553,1-14157696692,Southampton,South East,SO14 5QH,Domiciliary care service,,,New CQC registration,2026-01-05,50.4,"Newly registered with CQC on 05 Jan 2026 (domiciliary care service, non-bed-based) in the last two months, so onboarding decisions are still open. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2026-01-05,https://api.service.cqc.org.uk/public/v1/locations/1-26165716553
8,Exceptional Care At Home Limited,Exceptional Care At Home (Southampton),1-25825914153,1-7523028553,Southampton,South East,SO15 2BG,Domiciliary care service,,,New CQC registration,2025-12-03,50.4,"Newly registered with CQC on 03 Dec 2025 (domiciliary care service, non-bed-based) within the last four months. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-12-03,https://api.service.cqc.org.uk/public/v1/locations/1-25825914153
9,Southampton Sea City Partnership,St Mary’s Surgery,1-23102333625,1-199749465,Southampton,South East,SO14 1LT,Doctors treatment service,,Good,New CQC registration,2025-08-13,48.0,"Re-registered with CQC on 13 Aug 2025 (doctors treatment service, non-bed-based) about 6 months ago. A new legal entity or owner has taken on an existing service in Southampton - a natural point to review incumbent suppliers. It carries an inherited overall rating of Good.",new_registration 2025-08-13,https://api.service.cqc.org.uk/public/v1/locations/1-23102333625
10,Care Quality Services Limited,The Graylings,1-23934108529,1-6129891850,Southampton,South East,SO15 8SL,Extra Care housing services,,,New CQC registration,2025-07-14,48.0,"Newly registered with CQC on 14 Jul 2025 (extra care housing services, non-bed-based) about 7 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet. The provider behind this location has 2 locations moving in Southampton in this window, so it is an account-level opportunity, not a one-off.",new_registration 2025-07-14,https://api.service.cqc.org.uk/public/v1/locations/1-23934108529
