review_order,review_route,provider_name,provider_id,representative_location,location_id,authorities,local_locations,england_domiciliary_locations,service_mix,published_fact,reason_for_review,qualification_question,uncertainty,cqc_url,all_local_location_ids,source_edition,web_check_date,web_check_result
1,Coordinate local locations,Advance Health Care UK Ltd,1-101659529,Advance Healthcare (Saxon Court),1-20393312342,Solihull,4,10,Domiciliary care,4 non-dormant domiciliary locations in Solihull share this provider ID; 10 appear across England.,Assign one account owner to review Advance Health Care UK Ltd across these 4 local locations before splitting research by branch.,"For Advance Healthcare (Saxon Court) and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-20393312342,1-20393312342; 1-19060272122; 1-19060272095; 1-19060271907,2026-09-01,2026-09-08,MATCH
2,Coordinate local locations,Sevacare (UK) Limited,1-101689471,Sevacare - Birmingham Central,1-2132613650,Birmingham,4,5,Domiciliary care,4 non-dormant domiciliary locations in Birmingham share this provider ID; 5 appear across England.,Assign one account owner to review Sevacare (UK) Limited across these 4 local locations before splitting research by branch.,"For Sevacare - Birmingham Central and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-2132613650,1-2132613650; 1-1195236662; 1-130731599; 1-130731530,2026-09-01,2026-09-08,MATCH
3,Coordinate local locations,Yourlife Management Services Limited,1-172521302,YourLife (Shirley),1-15348190190,"Birmingham, Solihull",4,123,Domiciliary care,"4 non-dormant domiciliary locations in Birmingham, Solihull share this provider ID; 123 appear across England.",Assign one account owner to review Yourlife Management Services Limited across these 4 local locations before splitting research by branch.,"For YourLife (Shirley) and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-15348190190,1-15348190190; 1-4826285128; 1-2192880602; 1-290752472,2026-09-01,2026-09-08,MATCH
4,Coordinate local locations,Midshires Care Limited,1-101671690,Helping Hands Sutton Coldfield,1-10536207398,"Birmingham, Solihull",3,150,Domiciliary care,"3 non-dormant domiciliary locations in Birmingham, Solihull share this provider ID; 150 appear across England.",Assign one account owner to review Midshires Care Limited across these 3 local locations before splitting research by branch.,"For Helping Hands Sutton Coldfield and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-10536207398,1-10536207398; 1-6271803442; 1-3805311663,2026-09-01,2026-09-08,MATCH
5,Coordinate local locations,Nationwide Care Services Ltd,1-101640704,Nationwide Care Services (Northfield),1-10477635417,Birmingham,3,5,Domiciliary care + supported living,3 non-dormant domiciliary locations in Birmingham share this provider ID; 5 appear across England.,Assign one account owner to review Nationwide Care Services Ltd across these 3 local locations before splitting research by branch.,"For Nationwide Care Services (Northfield) and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-10477635417,1-10477635417; 1-3959898570; 1-1468818119,2026-09-01,2026-09-08,MATCH
6,Coordinate local locations,The ExtraCare Charitable Trust,1-102642963,Solihull Village,1-10285717693,"Birmingham, Solihull",3,6,Domiciliary care,"3 non-dormant domiciliary locations in Birmingham, Solihull share this provider ID; 6 appear across England.",Assign one account owner to review The ExtraCare Charitable Trust across these 3 local locations before splitting research by branch.,"For Solihull Village and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-10285717693,1-10285717693; 1-4196632027; 1-2228989981,2026-09-01,2026-09-08,MATCH
7,Coordinate local locations,Alina Homecare Services Limited,1-6455105516,Alina Homecare Sutton Coldfield,1-28707271724,Solihull,2,32,Domiciliary care,2 non-dormant domiciliary locations in Solihull share this provider ID; 32 appear across England.,Assign one account owner to review Alina Homecare Services Limited across these 2 local locations before splitting research by branch.,"For Alina Homecare Sutton Coldfield and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-28707271724,1-28707271724; 1-27031625266,2026-09-01,2026-09-08,MATCH
8,Coordinate local locations,Aspects Care Limited,1-101681607,White Doves,1-1070803341,"Birmingham, Solihull",2,3,Domiciliary care + supported living,"2 non-dormant domiciliary locations in Birmingham, Solihull share this provider ID; 3 appear across England.",Assign one account owner to review Aspects Care Limited across these 2 local locations before splitting research by branch.,"For White Doves and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-1070803341,1-1070803341; 1-135012480,2026-09-01,2026-09-08,MATCH
9,Coordinate local locations,Birmingham Business Associate Ltd,1-131672591,BBA Sheldon,1-20173366121,Birmingham,2,4,Domiciliary care,2 non-dormant domiciliary locations in Birmingham share this provider ID; 4 appear across England.,Assign one account owner to review Birmingham Business Associate Ltd across these 2 local locations before splitting research by branch.,"For BBA Sheldon and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-20173366121,1-20173366121; 1-2702214180,2026-09-01,2026-09-08,MATCH
10,Coordinate local locations,Goldcrest Healthcare Service Limited,1-3538801761,Goldcrest Heathcare Service (Birmingham),1-15308166952,Birmingham,2,6,Domiciliary care + supported living,2 non-dormant domiciliary locations in Birmingham share this provider ID; 6 appear across England.,Assign one account owner to review Goldcrest Healthcare Service Limited across these 2 local locations before splitting research by branch.,"For Goldcrest Heathcare Service (Birmingham) and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-15308166952,1-15308166952; 1-10233651067,2026-09-01,2026-09-08,MATCH
