location_id,location_name,provider_id,provider_name,local_authority,postcode,registration_date,rating_as_published,rating_publication_date,inherited_rating,service_types,service_user_bands,supported_living,provider_country_domiciliary_locations,provider_territory_locations,cqc_url,provider_website,source_edition,weekly_crosscheck_edition,source_retrieved_date,monthly_source_row
1-2375497294,24-7 Care Services,1-2304519526,24-7 Care Services Birmingham Ltd,Birmingham,B33 0TG,2016-01-26,Requires improvement,2024-01-04,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Older People; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-2375497294,,2026-09-01,2026-09-02,2026-09-08,31339
1-19611241388,3 D Care Services,1-14327593737,3D Care Services Limited,Birmingham,B23 6JS,2024-06-26,,,,Domiciliary care service; Supported living service,Mental Health; Older People; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-19611241388,www.3Dcareservices.com,2026-09-01,2026-09-02,2026-09-08,22923
1-3844276590,3D Healthcare Solutions Limited,1-3723651868,3D Healthcare Solutions Limited,Birmingham,B76 1HL,2017-05-29,Not Rated,,N,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-3844276590,www.3dhealthcaresolutions.co.uk,2026-09-01,2026-09-02,2026-09-08,40423
1-2304486315,A Peel Ltd,1-120628965,A Peel Limited,Birmingham,B44 0HU,2015-11-23,Good,2019-05-30,N,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-2304486315,www.carewatch.co.uk,2026-09-01,2026-09-02,2026-09-08,30320
1-15469636349,AG Care Services Limited,1-15126329319,AG Care Services Limited,Birmingham,B9 4LW,2023-05-05,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-15469636349,,2026-09-01,2026-09-02,2026-09-08,16142
1-19897989282,AH Home Care - Birmingham,1-19878134069,AH Home Care Limited,Birmingham,B28 8JG,2024-10-17,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-19897989282,,2026-09-01,2026-09-02,2026-09-08,24669
1-14572350995,AS Global Care Ltd,1-13946559205,AS Global Care Ltd,Birmingham,B17 9PU,2022-12-14,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-14572350995,,2026-09-01,2026-09-02,2026-09-08,14332
1-18066555573,Abane Care Limited,1-15081345748,Abane Care Limited,Birmingham,B16 9LP,2023-11-13,,,,Domiciliary care service,Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-18066555573,www.abanecarelimited.co.uk,2026-09-01,2026-09-02,2026-09-08,19298
1-17885055200,Ables Community Care Ltd,1-16428157675,Ables Community Care Ltd,Birmingham,B33 0UB,2023-11-22,,,,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-17885055200,www.ables-communitycare.co.uk,2026-09-01,2026-09-02,2026-09-08,19000
1-15912518434,Acire Care Birmingham,1-15198148803,Acire Care Ltd,Birmingham,B32 2RH,2023-05-22,,,,Domiciliary care service,Dementia; Mental Health; Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-15912518434,,2026-09-01,2026-09-02,2026-09-08,16731
1-12478667909,Cardun Care,1-8043692471,Active Property Agents Ltd,Birmingham,B21 0AF,2022-03-30,,,,Domiciliary care service; Supported living service,Mental Health; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-12478667909,www.activepropertyagents.com,2026-09-01,2026-09-02,2026-09-08,7883
1-6050171556,Activo Care,1-4564281310,Activo Care Limited,Birmingham,B14 5EB,2019-03-19,,,,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-6050171556,,2026-09-01,2026-09-02,2026-09-08,49208
1-9786827865,Actual Care Services Ltd,1-8966459544,Actual Care Services Ltd,Birmingham,B42 1DU,2020-10-29,Good,2022-06-22,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-9786827865,,2026-09-01,2026-09-02,2026-09-08,54982
1-13834761529,Added Care Ltd,1-9736363094,Added Care Ltd,Birmingham,B23 6HP,2022-08-26,,,,Domiciliary care service; Supported living service,Children 0-18 years; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-13834761529,www.addedcarelimited.co.uk,2026-09-01,2026-09-02,2026-09-08,12583
1-255642538,Agape Healthcare Limited,1-228518131,Agape Healthcare Limited,Birmingham,B16 8XF,2011-07-19,Good,2019-09-10,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment,Y,1,1,https://www.cqc.org.uk/location/1-255642538,www.agapehealthcare.co.uk,2026-09-01,2026-09-02,2026-09-08,33636
1-2197499156,All Care In One Ltd,1-567815338,All Care In One Limited,Birmingham,B6 5RQ,2015-09-01,Good,2020-02-27,N,Domiciliary care service,Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-2197499156,,2026-09-01,2026-09-02,2026-09-08,28384
1-27481819229,All Round Care Solutions Limited,1-15524986643,All Round Care Solutions Limited,Birmingham,B21 0AF,2026-03-31,,,,Domiciliary care service,Dementia; Mental Health; Older People; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-27481819229,www.allroundcaresolutions.co.uk,2026-09-01,2026-09-02,2026-09-08,36027
1-117409276,All Seasons Care Limited,1-101670571,All Seasons Care Limited,Birmingham,B14 7JQ,2011-01-12,Good,2023-12-09,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment,N,1,1,https://www.cqc.org.uk/location/1-117409276,www.ascaregroup.com,2026-09-01,2026-09-02,2026-09-08,4373
1-126005236,Alpine House,1-101693165,Alpine Care UK Limited,Birmingham,B18 6NY,2011-01-12,Not Rated,,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Whole Population; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-126005236,,2026-09-01,2026-09-02,2026-09-08,8449
1-12851853221,Edmund House,1-9550523790,Angel of Life Limited,Birmingham,B3 3AS,2022-03-28,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment,N,1,1,https://www.cqc.org.uk/location/1-12851853221,www.angeloflife.co.uk,2026-09-01,2026-09-02,2026-09-08,9436
1-3005993441,Antoine Care LTD,1-2885491395,Antoine Care Ltd,Birmingham,B14 6NN,2016-12-22,Good,2021-06-12,N,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-3005993441,,2026-09-01,2026-09-02,2026-09-08,38270
1-11773547995,Aspect Supported Living Limited,1-10370366227,Aspect Supported Living Limited,Birmingham,B13 8JR,2021-10-06,Requires improvement,2023-02-22,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-11773547995,www.aspectsupportedliving.co.uk,2026-09-01,2026-09-02,2026-09-08,4508
1-135012480,Aspects Care Limited,1-101681607,Aspects Care Limited,Birmingham,B30 3EJ,2010-11-25,Good,2020-01-10,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment,Y,3,2,https://www.cqc.org.uk/location/1-135012480,www.aspectscare.co.uk,2026-09-01,2026-09-02,2026-09-08,11692
1-11064506487,Assisted Lives (Birmingham),1-287194006,Assisted Lives Ltd,Birmingham,B33 8PP,2021-07-02,Requires improvement,2023-12-02,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,3,1,https://www.cqc.org.uk/location/1-11064506487,www.assistedlives.co.uk,2026-09-01,2026-09-02,2026-09-08,2131
1-2448863376,Home Instead Senior Care,1-117003295,Assured Lifestyle Limited,Birmingham,B73 5UE,2016-02-09,Good,2023-04-22,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-2448863376,www.homeinstead.co.uk,2026-09-01,2026-09-02,2026-09-08,32228
1-18936674240,Attentive Community Care LTD,1-15869966974,Attentive Community Care Limited,Birmingham,B42 2DZ,2024-03-13,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-18936674240,www.attentivecommunitycare.com,2026-09-01,2026-09-02,2026-09-08,21109
1-4262206830,Audley Care Ltd - Audley Care St Georges Place,1-174576986,Audley Care Ltd,Birmingham,B15 3SH,2017-09-08,Good,2019-04-12,N,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,16,1,https://www.cqc.org.uk/location/1-4262206830,www.audleycare.co.uk,2026-09-01,2026-09-02,2026-09-08,41498
1-19464572857,Azalea Care Services Ltd,1-17941623377,Azalea Care Services Ltd,Birmingham,B16 9NX,2024-05-30,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-19464572857,,2026-09-01,2026-09-02,2026-09-08,22392
1-26963512859,Baldwins Care Ltd,1-25474360399,Baldwins Care Ltd,Birmingham,B28 0XB,2026-02-20,,,,Domiciliary care service,Dementia; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-26963512859,www.heritagehealthcare.co.uk/birminghamsouth,2026-09-01,2026-09-02,2026-09-08,35441
1-1011039037,Balm Care Services Limited,1-864898519,Balm Care Services Limited,Birmingham,B31 2SU,2013-10-16,Good,2018-03-21,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-1011039037,www.balmcareservices.com,2026-09-01,2026-09-02,2026-09-08,166
1-4654998035,Baobab Care UK Limited,1-4227809948,Baobab Care UK Limited,Birmingham,B12 0NQ,2017-12-22,Good,2023-07-14,N,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-4654998035,www.baobabcare.co.uk,2026-09-01,2026-09-02,2026-09-08,42537
